org,dest,km_linear,km_rota
1100015,2301406,2689.3425114739753,4218.0
1100015,2301901,2561.989477874538,4109.0
1100015,2302057,2532.781047415086,3718.0
1100015,2302305,2616.655245453342,3878.0
1100015,2302404,2591.6946960421965,4078.0
1100015,2302800,2648.855306002799,4182.0
1100015,2303931,2659.5913522869346,4199.0
1100015,2304509,2535.2863159222943,3541.0
1100015,2305001,2508.7235507934934,3567.0
1100015,2305209,2543.329383584764,3635.0
1100015,2305308,2511.1822830931806,3530.0
1100015,2305605,2510.573704978711,4067.0
1100015,2305654,2491.9936060739424,3546.0
1100015,2305803,2518.3070295066277,3595.0
1100015,2305902,2499.45256578517,3557.0
1100015,2306504,2692.871124789158,4251.0
1100015,2306553,2659.002772630962,3895.0
1100015,2306801,2705.592229427216,4353.0
1100015,2307601,2764.1535238290667,4407.0
1100015,2308005,2589.756204962242,3602.0
1100015,2308500,2565.124971998501,4044.0
1100015,2308609,2561.628964657158,4138.0
1100015,2308807,2566.254530792324,3568.0
1100015,2308906,2631.393171552336,3910.0
1100015,2309003,2533.6119059152193,3549.0
1100015,2309102,2695.0389574274213,4237.0
1100015,2309409,2461.986593439406,4015.0
1100015,2309607,2749.041480082631,4543.0
1100015,2310001,2784.142288579938,4463.0
1100015,2310407,2677.084304341786,4223.0
1100015,2310852,2779.45076309103,4579.0
1100015,2311108,2579.5309439640873,4081.0
1100015,2311207,2486.530034117289,3930.0
1100015,2311306,2675.4242223730444,4191.0
1100015,2311504,2776.362716738705,4427.0
1100015,2311900,2533.990256625612,3969.0
1100015,2312106,2516.933926248473,3983.0
1100015,2312403,2724.6477130242915,4045.0
1100015,2312502,2741.2081093223337,4396.0
1100015,2312908,2576.7284485402015,3596.0
1100015,2313005,2643.672066012132,4313.0
1100015,2313203,2534.730620415817,3599.0
1100015,2313351,2657.127979126964,3742.0
1100015,2313401,2520.8162170232067,3507.0
1100015,2313559,2686.2025550372364,4007.0
1100015,2313807,2668.6317906049926,3711.0
1100015,2400406,2704.405342745591,4276.0
1100015,2400505,2726.7093806354446,4283.0
1100015,2400901,2747.047124884876,4309.0
