Município - UF;COD mun
Cordeiro - RJ;3301504
Nina Rodrigues - MA;2107209
Jari - RS;4311130
Varzea - PB;2517100
Lagoa dAnta - RN;2406205
Xanxere - SC;4219507
Divino das Laranjeiras - MG;3122108
Barra Bonita - SC;4202099
Pirajui - SP;3538907
Fortaleza dos Valos - RS;4308458
Maria da Fe - MG;3139904
Santo Antonio de Goias - GO;5219738
Montanhas - RN;2407708
Mario Campos - MG;3140159
Bom Jesus do Tocantins - TO;1703305
Frei Inocencio - MG;3126901
Bela Vista de Goias - GO;5203302
Montalvania - MG;3142700
Bonopolis - GO;5203575
Presidente Dutra - MA;2109106
Santa Barbara do Oeste - SP;3545803
Sao Jose - SC;4216602
Nova Tebas - PR;4117271
Pedreira - SP;3537107
Bocaina - SP;3506805
Igaratinga - MG;3130200
Gameleira - PE;2605905
Pindorama do Tocantins - TO;1717008
Sao Joao da Alianca - GO;5220009
Sao Jose do Barreiro - SP;3549607
Campo Redondo - RN;2402105
Massape - CE;2308005
Paraiso - SC;4212239
Entre Rios - BA;2910503
Doutor Mauricio Cardoso - RS;4306734
Umburatiba - MG;3170305
Vieiropolis - PB;2517209
Luzinopolis - TO;1712454
Presidente Getulio - SC;4214003
Nisia Floresta - RN;2408201
Ouricuri - PE;2609907
Bernardino de Campos - SP;3506300
Xambre - PR;4128807
Carmo do Rio Verde - GO;5205000
Encruzilhada do Sul - RS;4306908
Itapecerica da Serra - SP;3522208
Faxinal do Soturno - RS;4308003
Caatiba - BA;2904803
Garrafao do Norte - PA;1503077
Aragominas - TO;1701309
Candelaria - RS;4304200
Santo Antonio da Platina - PR;4124103
Miguel Calmon - BA;2921203
Terra Nova do Norte - MT;5108055
Igarassu - PE;2606804
Chorrocho - BA;2907707
Sao Jose da Safira - MG;3163003
Bom Jesus dos Perdoes - SP;3507100
Sao Joao das Missoes - MG;3162450
Ipaporanga - CE;2305654
Ibiracu - ES;3202504
Marilandia - ES;3203353
Piraju - SP;3538808
Salto de Pirapora - SP;3545308
Erval Grande - RS;4307203
Ibiuna - SP;3519709
Capivari de Baixo - SC;4203956
Lontra - MG;3138658
Luislandia - MG;3138682
Divisopolis - MG;3122454
Tacaimbo - PE;2614709
Ceres - GO;5205406
Tapera - RS;4321006
General Carneiro - PR;4108502
Ribeira - SP;3542800
Amontada - CE;2300754
Passos - MG;3147907
Capinzal - SC;4203907
Campo Limpo de Goias - GO;5204854
Planalto da Serra - MT;5106455
Olho da Agua do Borges - RN;2408409
Ipecaeta - BA;2913804
Formosa do Oeste - PR;4108205
Nazare - TO;1714302
Cumaru do Norte - PA;1502764
Coari - AM;1301209
Teresopolis - RJ;3305802
Iconha - ES;3202603
Congonhas - MG;3118007
Ermo - SC;4205191
Paracambi - RJ;3303609
Rio Formoso - PE;2611903
Antonina do Norte - CE;2300804
Caibate - RS;4303301
Patos do Piaui - PI;2207777
Ponto Belo - ES;3204252
Embu-Guacu - SP;3515103
Abreu e Lima - PE;2600054
Indiana - SP;3520608
Ibiaca - RS;4309803
Crucilandia - MG;3120607
Matinhas - PB;2509339
Jacutinga - MG;3134905
Itapetininga - SP;3522307
Pinhal de Sao Bento - PR;4119251
Nova Brasilandia - MT;5106208
Sao Jose da Vitoria - BA;2929354
Sao Francisco - SE;2806909
Guarai - TO;1709302
Santa Luzia do Parua - MA;2110039
Olimpia - SP;3533908
Santa Lucia - PR;4123824
Nova Esperanca - PR;4116901
Entre Rios do Oeste - PR;4107538
Rio Branco do Ivai - PR;4122172
Goiana - MG;3127388
Pau Brasil - BA;2923902
Sao Joao do Jaguaribe - CE;2312502
Sao Jose de Uba - RJ;3305133
Santo Antonio do Jacinto - MG;3160306
Campo Alegre do Fidalgo - PI;2202117
Tarumirim - MG;3168408
Coracao de Maria - BA;2908903
Boa Esperanca - PR;4103008
Nova Era - MG;3144706
Ponto Chique - MG;3152131
Itabera - SP;3521705
Iati - PE;2606507
Raposos - MG;3153905
Tres Coracoes - MG;3169307
Sao Jose da Lapa - MG;3162955
Coracao de Jesus - MG;3118809
Major Gercino - SC;4210209
Nova Santa Helena - MT;5106190
Estrela - RS;4307807
Sao Jose do Sabugi - PB;2514701
Jaiba - MG;3135050
